Guid,AccountId,ParentId,SuppliedName,SuppliedPhone,SuppliedCompany,Type,Status,Reason,Subject,Priority,Description,ClosedDate,IsEscalated,Comments,Application__c,TypeDetail__c
00233d5d-c22a-4962-8c87-0d24359ad033,5c16306b-ee7e-47e5-8747-81967fd38c64,#N/A,#N/A,#N/A,#N/A,Feature Request,On Hold,Instructions not clear,Trouble using the xyz widget,High,I'm having trouble using the xyz widget....,#N/A,false,#N/A,#N/A,#N/A
00666f77-350b-49c2-ba8a-05abc2b82971,87e55aad-4e6c-463c-b2c5-ec94d4ab53de,#N/A,#N/A,#N/A,#N/A,Feature Request,Closed,New problem,Waterproof Widgets don’t float,Low,After we received your new waterproof widgets we noticed they didn't float. What gives?,#N/A,false,#N/A,#N/A,#N/A
008ac3cd-647f-4c53-8a9d-6d063310ab50,194db487-dbcb-490c-9aa3-ad8d79e8d218,#N/A,#N/A,#N/A,#N/A,Question,Approved,User didn't attend training,Is this possible?,Medium,User Needs Help,#N/A,false,#N/A,#N/A,#N/A
00a39cea-c2b5-4be6-857a-36622dae9075,b13d5aeb-d27a-4177-9f8c-e5631311a855,#N/A,#N/A,#N/A,#N/A,Question,Escalated,User didn't attend training,Can I delete all my profiles?,Medium,I was wondering if It is possible to o delete my profiles and start from scratch?,#N/A,false,#N/A,#N/A,#N/A
00b544d6-cbb9-441a-ab4f-dddaad228477,c8a07558-df73-4625-a171-7654b2b80b09,#N/A,#N/A,#N/A,#N/A,Feature Request,Closed,New problem,Widgets aren't waterproof,Low,Is it possible to make our widgets waterproof?,#N/A,false,#N/A,#N/A,#N/A
00ec1c73-072b-40b3-81c2-11cd03930658,65c6b784-643c-4194-a9f5-046bb1063d2b,#N/A,#N/A,#N/A,#N/A,Question,New,Existing problem,Increase number of licenses,Medium,User Needs Help,#N/A,false,#N/A,#N/A,#N/A
00fcf2ee-f028-4237-ad85-15e52fabeeeb,f6ecb17a-270f-450e-bc69-f3647e3b0e2c,#N/A,#N/A,#N/A,#N/A,Feature Request,On Hold,Instructions not clear,Login credentials,Medium,I have forgotten my login. Please send me new credentials.,#N/A,false,#N/A,#N/A,#N/A
01270471-77ac-4d88-9ed7-4d06f1e1a085,511c2c9e-1f19-49b0-a2d3-317ae710028d,#N/A,#N/A,#N/A,#N/A,Question,On Hold,User didn't attend training,Can I delete all my profiles?,Medium,I was wondering if It is possible to o delete my profiles and start from scratch?,#N/A,false,#N/A,#N/A,#N/A
013cfa3e-fcfc-4c0d-b9c3-2715c1e2a53c,5eb47423-6885-4372-8518-6da514b5c6ba,#N/A,#N/A,#N/A,#N/A,Feature Request,Rejected,Instructions not clear,How do we restrict access?,Medium,I'd like to block access to company analytics for certain users of the Inventory Management Suite.,#N/A,false,#N/A,#N/A,#N/A
01884515-9c6f-41f7-ba3c-cc4e5be8d247,0bd2e3f8-3ad1-4df2-9352-55b470d35679,#N/A,#N/A,#N/A,#N/A,Feature Request,On Hold,New problem,Widgets aren't waterproof,Low,Is it possible to make our widgets waterproof?,#N/A,false,#N/A,#N/A,#N/A
018c94ec-3333-4462-b8c2-4c928d3adcee,84974be0-d28e-4c7b-a17c-354ddaa1ae5b,#N/A,#N/A,#N/A,#N/A,Feature Request,Pending Approval,Complex Functionallity,Third Party Integrations,Medium,My company makes and app. Can we integrate it with your products?,#N/A,false,#N/A,#N/A,#N/A
0221a822-6ae9-4cd4-92cd-3dabf3c661c9,c69af6ed-ab9a-4b6b-b3cb-acc6bc5edb19,#N/A,#N/A,#N/A,#N/A,Feature Request,On Hold,Complex Functionallity,Third Party Integrations,Medium,My company makes and app. Can we integrate it with your products?,#N/A,false,#N/A,#N/A,#N/A
023eac68-c4c0-4308-93f7-97fa238cb42b,b79df24b-9ddc-446a-a44e-d271951b6cfc,#N/A,#N/A,#N/A,#N/A,Feature Request,Pending Approval,New problem,Waterproof Widgets don’t float,Low,After we received your new waterproof widgets we noticed they didn't float. What gives?,#N/A,false,#N/A,#N/A,#N/A
02446fc7-b862-4966-a885-50b146a012c5,526c482b-6878-434e-93b7-5040bfd74306,#N/A,#N/A,#N/A,#N/A,Feature Request,Pending Approval,Instructions not clear,How do we restrict access?,Medium,I'd like to block access to company analytics for certain users of the Inventory Management Suite.,#N/A,false,#N/A,#N/A,#N/A
0260b20b-8cf8-454c-887d-4827b317581f,65c6b784-643c-4194-a9f5-046bb1063d2b,#N/A,#N/A,#N/A,#N/A,Feature Request,Approved,Instructions not clear,How do we restrict access?,Medium,I'd like to block access to company analytics for certain users of the Inventory Management Suite.,#N/A,false,#N/A,#N/A,#N/A
026d2196-55fa-42cf-8428-b8bf9eee5bde,808f2444-fc45-41ae-8eb6-32f0ff91c275,#N/A,#N/A,#N/A,#N/A,Feature Request,Rejected,New problem,Waterproof Widgets don’t float,Low,After we received your new waterproof widgets we noticed they didn't float. What gives?,#N/A,false,#N/A,#N/A,#N/A
02d9b915-10af-44d1-b085-3609c06c453c,0d95e68a-9453-406f-89cb-490d1d05c35b,#N/A,#N/A,#N/A,#N/A,Problem,Rejected,New problem,Newest update cause an error,High,When I upgraded to the newest version some of my integrations broke,#N/A,false,#N/A,#N/A,#N/A
03091cc0-d4e5-47a0-802c-3c32a86d1c1c,d523027d-c972-4a29-994a-8e1524d7ffe1,#N/A,#N/A,#N/A,#N/A,Feature Request,Pending Approval,Instructions not clear,Login credentials,Medium,I have forgotten my login. Please send me new credentials.,#N/A,false,#N/A,#N/A,#N/A
030d5ab8-d098-4470-a84e-df8bb0543c6b,1f9367e0-d436-4ac6-b306-a154849af663,#N/A,#N/A,#N/A,#N/A,Feature Request,New,New problem,Waterproof Widgets don’t float,Low,After we received your new waterproof widgets we noticed they didn't float. What gives?,#N/A,false,#N/A,#N/A,#N/A
030d6543-9f79-4dfa-a3c8-f85463b083b1,9333181a-1ade-41d1-99df-5746a40c6297,#N/A,#N/A,#N/A,#N/A,Feature Request,Closed,Instructions not clear,Login credentials,Medium,I have forgotten my login. Please send me new credentials.,#N/A,false,#N/A,#N/A,#N/A
033bec9c-1e4e-467b-af2a-ea23c08f7b1c,ac60ca15-fa06-456a-a164-ed9712079a23,#N/A,#N/A,#N/A,#N/A,Problem,New,New problem,Newest update cause an error,High,When I upgraded to the newest version some of my integrations broke,#N/A,false,#N/A,#N/A,#N/A
0359f2e2-21cd-4114-b01e-7aec19d1be4c,1852b9a6-11d0-4a30-9cfc-0b5a9a872b78,#N/A,#N/A,#N/A,#N/A,Problem,Closed,New problem,Newest update cause an error,High,When I upgraded to the newest version some of my integrations broke,#N/A,false,#N/A,#N/A,#N/A
