Guid,AccountId,Name,Description,StageName,Amount,Probability,CloseDate,Type,NextStep,LeadSource,ForecastCategoryName,IsExcludedFromTerritory2Filter,ContactId,SBQQ__Contracted__c,SBQQ__CreateContractedPrices__c,SBQQ__OrderGroupID__c,SBQQ__Ordered__c,SBQQ__QuotePricebookId__c,SBQQ__Renewal__c,sbaa__ApprovalStatus__c,sbaa__ApprovalStep__c,sbaa__StepApproved__c,sbaa__SubmittedDate__c
187ec149-9f61-480a-99b9-d649891a620d,f35c187c-dfbd-4091-a31c-e5d7eb5e2d92,Opport,#N/A,Perception Analysis,#N/A,70.0,2024-01-04,#N/A,#N/A,#N/A,Pipeline,#N/A,#N/A,false,false,#N/A,false,#N/A,false,#N/A,#N/A,#N/A,#N/A
432abc13-9a32-4918-9db5-40b4a40c1a3b,bd4800a0-9dc3-4afe-b5c9-19d1f5d40d60,transanctionX,#N/A,Negotiation/Review,100.0,22.0,2022-01-31,Existing Business,#N/A,#N/A,Pipeline,#N/A,#N/A,false,false,#N/A,false,#N/A,false,#N/A,#N/A,#N/A,#N/A
cabfcd4c-9c57-491f-a825-6cc68af136ff,99e5f95b-251e-4ca9-b53d-22fde00f8922,opp,#N/A,Needs Analysis,123.0,20.0,2022-02-23,#N/A,#N/A,#N/A,Pipeline,#N/A,#N/A,false,false,#N/A,false,#N/A,false,#N/A,#N/A,#N/A,#N/A
dafd2619-24a7-40fb-b3d0-d9d7e0a8bbeb,08a3581b-35ca-4088-9411-63ffcba5dc44,Acme - 600 Widgets,The deal is at 20% because they are at the sales process stage of defining their requirements.  It is not clear whether our solutions are a good fit or not but they are willing to discuss this in detail.,Needs Analysis,70000.0,20.0,2019-11-28,New Business,Need estimate,Trade Show,Pipeline,#N/A,#N/A,false,false,#N/A,false,#N/A,false,#N/A,#N/A,#N/A,#N/A
773de570-5bc1-4486-8926-ce71a871ad48,23839ee6-1b01-4fd0-935f-9b7b826e82c6,Zoovu - Upsell,#N/A,Qualification,75000.0,10.0,2024-06-21,#N/A,#N/A,#N/A,Pipeline,false,#N/A,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
9187ee2a-4087-4745-ab80-6903b3d45942,938245f0-fc3d-423f-8623-f06fb653884e,Divavu - Secondary Sale,#N/A,Closed Won,32395.00000002,100.0,2024-04-15,#N/A,#N/A,#N/A,Closed,false,#N/A,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
fbb8d8ba-06d7-4d9a-80c8-5dca832f650c,80c41bd0-93f9-427f-813d-d39f48fec3fc,Dynabox - Upsell,#N/A,Qualification,75000.0,10.0,2024-06-21,#N/A,#N/A,#N/A,Pipeline,false,#N/A,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
096d28f1-8dc3-48e5-b400-7ea91d749980,ca1d080c-fcd3-4d48-9ac3-c61a1ae61cb8,Uidoo - Cross-sell,#N/A,Proposal/Price Quote,18050.0,75.0,2024-05-01,#N/A,#N/A,#N/A,Pipeline,false,#N/A,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
a8475e72-1317-427a-9f7c-ccda41fe8f1b,da36ee78-ce15-4149-8b4a-81ff2de76888,Dabfeed - Additional Sale,#N/A,Closed Won,72395.0,100.0,2022-12-22,#N/A,#N/A,#N/A,Closed,false,#N/A,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
a726b6bf-8817-4058-bc10-df8ef57b2a80,7dabcdcc-5254-4656-b08b-9194fe0e2f7f,Meembee - Initial Sale,#N/A,Closed Lost,72395.0,0.0,2023-10-03,#N/A,#N/A,#N/A,Omitted,false,#N/A,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
946b9a9f-7945-4ce1-8273-849cfa501ba0,77d6afbf-e965-4614-94de-25c8676ff70a,Viva - Initial Sale,#N/A,Closed Lost,72395.0,0.0,2023-10-03,#N/A,#N/A,#N/A,Omitted,false,#N/A,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
0996566a-fddd-4f72-9e80-4d20d4c2fadc,e1c42a70-a2fb-4247-a158-ce236dcc00c0,Tazz - SOW 1,#N/A,Needs Analysis,25400.0,20.0,2024-04-17,#N/A,#N/A,#N/A,Pipeline,false,#N/A,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
eace9685-04ae-49a7-b0ac-a37481595c4f,8a978d34-1517-46fc-b461-9569f4778b8d,Fliptune - SOW 1,#N/A,Needs Analysis,71595.0,20.0,2024-05-02,#N/A,#N/A,#N/A,Pipeline,false,#N/A,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
b50232ba-92fc-461f-82cd-f871fc51829c,78692ae4-5886-409b-bdde-6ba0e2805f08,Yodel - Additional Sale,#N/A,Qualification,34995.0,10.0,2024-02-25,#N/A,#N/A,#N/A,Pipeline,false,#N/A,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
0ec5185b-6253-4217-a472-6dbf3190ed82,8a978d34-1517-46fc-b461-9569f4778b8d,Fliptune - Upsell,#N/A,Qualification,100082.0,10.0,2024-06-21,#N/A,#N/A,#N/A,Pipeline,false,#N/A,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
16a8aca9-4547-464c-80f4-55109af16877,418f42ed-1457-49b3-8472-24339142bde0,Wordtune - Cross-sell,#N/A,Proposal/Price Quote,26050.0,75.0,2024-05-01,#N/A,#N/A,#N/A,Pipeline,false,#N/A,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
01994ce4-eba8-4d3e-9989-3e86fcfed198,35258769-4b4f-4e57-81b2-cc2dc73f63c9,Vitz - Cross-sell,#N/A,Proposal/Price Quote,18050.0,75.0,2024-05-01,#N/A,#N/A,#N/A,Pipeline,false,#N/A,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
6d8759ec-b5ee-4de7-a1bc-9c37d79a9a48,0f31374f-19be-4732-a973-214d64769d34,Dynazzy - Additional Sale,#N/A,Closed Won,29995.0,100.0,2023-12-04,#N/A,#N/A,#N/A,Closed,false,#N/A,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
b304d7ab-6f47-4f34-9bff-d152a840823c,109f565b-8cc5-42a0-be92-0f2b75d0b336,Gabtype - Cross-sell,#N/A,Proposal/Price Quote,18050.0,75.0,2024-05-01,#N/A,#N/A,#N/A,Pipeline,false,#N/A,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
eced7aa0-6fd7-4865-b357-fab95ac7cd93,b67a52e7-1622-427a-8244-bef3bdfb5daa,Twinder - Initial Sale,#N/A,Closed Lost,72395.0,0.0,2023-10-03,#N/A,#N/A,#N/A,Omitted,false,#N/A,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
49595c9c-4c45-4c5d-a5d0-283c9bd5c869,58c77ec7-746a-43d1-8a3f-6de3d86b2754,Bluezoom - Initial Sale,#N/A,Qualification,83690.0,10.0,2024-02-22,#N/A,#N/A,#N/A,Pipeline,false,#N/A,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
345ed9d4-479c-4205-a8e3-f5e4c289784b,af6e3414-df1f-4809-ade2-0831d5fd18ce,Yamia - Cross-sell,#N/A,Proposal/Price Quote,18350.0,75.0,2024-05-01,#N/A,#N/A,#N/A,Pipeline,false,#N/A,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
6c517244-9ea0-40ae-b2a0-10133c42bf3d,ab7b5861-123c-48ae-822f-fb2a9fa521d2,Browsebug - Cross-sell,#N/A,Proposal/Price Quote,34350.0,75.0,2024-05-01,#N/A,#N/A,#N/A,Pipeline,false,#N/A,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
fab85093-db95-436c-b380-706fa48e7c9a,a81c1023-46a5-4db0-b99b-871433075abf,Zazio - Cross-sell,#N/A,Proposal/Price Quote,18050.0,75.0,2024-05-01,#N/A,#N/A,#N/A,Pipeline,false,#N/A,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
61b20de8-e131-4d54-b4a0-b41005abf2b2,0e2a83d2-ff5c-42a2-84f2-24d764fd17ff,Zoombox - Upsell,#N/A,Qualification,75000.0,10.0,2024-06-21,#N/A,#N/A,#N/A,Pipeline,false,#N/A,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
1a3760bb-feea-4f56-8880-495ba403e262,dc57a529-90f0-4cec-80e2-cc49da0dc2cb,Zoovu - Secondary Sale,#N/A,Closed Won,32395.00000002,100.0,2024-04-15,#N/A,#N/A,#N/A,Closed,false,#N/A,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
38541859-d389-4b67-a65c-8f0e38de89c2,894f8589-e3d9-445e-a952-a4e403b80bec,Viva - Secondary Sale,#N/A,Closed Won,32395.00000002,100.0,2024-02-16,#N/A,#N/A,#N/A,Closed,false,#N/A,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
c922ddd8-0daf-401d-85f5-bdfdae847d49,c8911010-8a55-408f-951f-f75e1d3dc1e0,Buzzbean - Upsell,#N/A,Needs Analysis,100082.0,20.0,2024-06-21,#N/A,#N/A,#N/A,Pipeline,false,#N/A,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
3ed76ad9-498f-4fc3-934e-b0076ab6fdd4,ecc3597b-96e9-43d1-95c1-c0432d4072c5,Skyba - Secondary Sale,#N/A,Closed Won,32395.00000002,100.0,2024-02-16,#N/A,#N/A,#N/A,Closed,false,#N/A,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
854bda1c-0ab8-4104-af89-d5b12de45e5f,6a2b8141-cf6d-44a8-9d1a-f12938932a0a,Dabfeed - Initial Sale,#N/A,Prospecting,72395.0,10.0,2024-04-23,#N/A,#N/A,#N/A,Pipeline,false,#N/A,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
7e137b0a-3cda-409a-b0a2-36718baf9d67,34432f0b-0e35-4a1e-9039-8f1e6f45c046,Oodoo - Additional Sale,#N/A,Closed Won,29995.0,100.0,2023-12-04,#N/A,#N/A,#N/A,Closed,false,#N/A,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
62eb9235-bc0e-4fab-bba3-d851975fcaaa,0f3bb6a9-09fc-49c4-af88-279356533921,Edgepulse - Additional Sale,#N/A,Closed Won,72395.0,100.0,2022-10-19,#N/A,#N/A,#N/A,Closed,false,#N/A,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
f00a5b1e-2b77-4233-ac4d-10122b2f3a9f,e1c42a70-a2fb-4247-a158-ce236dcc00c0,Tazz - Cross-sell,#N/A,Proposal/Price Quote,18050.0,75.0,2024-05-01,#N/A,#N/A,#N/A,Pipeline,false,#N/A,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
1298e240-d453-4680-a345-4f6bf054b98d,42514dd9-2696-4e23-bacc-d95ea8836aee,Browsetype - Cross-sell,#N/A,Proposal/Price Quote,18050.0,75.0,2024-05-01,#N/A,#N/A,#N/A,Pipeline,false,#N/A,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
af074696-d351-4ff0-aad1-0e4ac13e0cb0,5cb2d660-265f-406b-aff8-0199ef4734bc,Rhynyx - Additional Sale,#N/A,Negotiation/Review,34995.0,90.0,2024-02-19,#N/A,#N/A,#N/A,Pipeline,false,#N/A,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
a8922d31-f774-450e-b1dd-6f956580860d,b2605d64-a117-4cb1-b282-e61065f6784b,Rhycero - Cross-sell,#N/A,Proposal/Price Quote,11550.0,75.0,2024-05-01,#N/A,#N/A,#N/A,Pipeline,false,#N/A,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
afc915cc-f35f-45f3-a4d9-2cf51000b681,55e19d49-2142-4b85-afc8-e0b3dccd8530,Browsedrive - Upsell,#N/A,Qualification,75000.0,10.0,2024-06-21,#N/A,#N/A,#N/A,Pipeline,false,#N/A,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
5a1bba3a-3441-4df2-a18e-8fc431847b25,159b5ab5-b6a5-4cf5-b42c-ad09c4ded839,Edgetag - Cross-sell,#N/A,Proposal/Price Quote,18350.0,75.0,2024-05-01,#N/A,#N/A,#N/A,Pipeline,false,#N/A,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
4c4696d1-14ff-4557-b7d4-7192046f656f,c4890aeb-41b8-4a9a-87c2-50904f4793f8,Livefish - Secondary Sale,#N/A,Closed Won,32395.00000002,100.0,2024-02-16,#N/A,#N/A,#N/A,Closed,false,#N/A,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
6a44a500-2a07-4e2a-a5b5-29db714dcbef,ad1464d0-d02b-495a-9067-8af28afe9102,Yakitrit-Germain Hospital - Cross-sell,#N/A,Proposal/Price Quote,18050.0,75.0,2024-05-01,#N/A,#N/A,#N/A,Pipeline,false,#N/A,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
0799cd68-42e8-40a2-8028-dc1a9fcd8b69,67703094-d179-4664-a050-b1737b793a14,Skimia - Upsell,#N/A,Qualification,100082.0,10.0,2024-06-21,#N/A,#N/A,#N/A,Pipeline,false,#N/A,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
2a34b68b-0c06-4d35-8025-bb87271558a7,9d159d30-653e-44d6-8de4-d605a8c53b66,Kazu - Cross-sell,#N/A,Proposal/Price Quote,18350.0,75.0,2024-05-01,#N/A,#N/A,#N/A,Pipeline,false,#N/A,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
369dd170-eeaa-42ec-add9-163142265cb0,55348a2f-a6a8-4422-a999-3a8035261da7,Edgeclub - Cross-sell,#N/A,Proposal/Price Quote,18350.0,75.0,2024-05-01,#N/A,#N/A,#N/A,Pipeline,false,#N/A,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
07588c20-e508-4bc9-818d-9ed5c909a887,9fd80885-682f-4d0f-973e-c741ec09996c,Realfire - Cross-sell,#N/A,Proposal/Price Quote,34350.0,75.0,2024-05-01,#N/A,#N/A,#N/A,Pipeline,false,#N/A,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
2e47ac22-ba76-41f8-948f-b19fd44849cb,21963b93-16f0-4653-aa2c-ac6dd54c32a3,Topicstorm - Additional Sale,#N/A,Needs Analysis,34995.0,20.0,2024-03-07,#N/A,#N/A,#N/A,Pipeline,false,#N/A,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
6da950cf-7046-4b69-879c-e8a1e99be323,86899412-c139-4fcf-a358-6f7212175fa8,Talane - Initial Sale,#N/A,Closed Lost,72395.0,0.0,2023-10-03,#N/A,#N/A,#N/A,Omitted,false,#N/A,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
12b75b8a-735d-40b5-8a56-dfc46c13eb36,c1046d84-c593-465b-a20a-9176ebabf233,Jabbersphere - Additional Sale,#N/A,Qualification,34995.0,10.0,2024-05-02,#N/A,#N/A,#N/A,Pipeline,false,#N/A,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
9efe6e4e-25e3-4ebe-9634-e6c358fe8cb3,73f4a7dd-238e-4b8a-a412-8a972076b2ae,Trunyx - Initial Sale,#N/A,Prospecting,72395.0,10.0,2024-04-23,#N/A,#N/A,#N/A,Pipeline,false,#N/A,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
