Guid,Name,SBQQ__Active__c,SBQQ__AdvancedCondition__c,SBQQ__ConditionsMet__c,SBQQ__ConfiguratorEvaluationEvent__c,SBQQ__EvaluationEvent__c,SBQQ__EvaluationOrder__c,SBQQ__LookupObject__c,SBQQ__TargetObject__c
739a4847-da5f-4016-baa8-7b107ccf8d04,Calculate Tax at Order/Invoice,false,#N/A,All,#N/A,Before Calculate,#N/A,#N/A,Calculator
750a6c7a-2aa5-488a-8f28-81aa0282394f,Lookup Approval Level 1 [Discount],false,#N/A,All,#N/A,On Initialization,50.0,Approval_Threshold__c,Calculator
a2ef8166-a570-4f74-96e3-9b456d6b1820,Lookup Approval Level 3 [Discount],false,#N/A,All,#N/A,On Initialization,53.0,Approval_Threshold__c,Calculator
8fbb4e83-bc79-40d2-b80e-0302ee5db94f,Set VirusScan Device Count (DEP),false,111 AND (222 OR 333 OR 444),Custom,#N/A,On Initialization,2.0,#N/A,Calculator
6f79c410-9b41-47f4-84d5-6a57598971c9,Lookup Approval Level 3 [Discount],false,#N/A,All,#N/A,On Initialization,53.0,Approval_Threshold__c,Calculator
412059d9-e223-4bc8-86f3-e134c7cafd83,Calculate Tax at Order/Invoice,false,#N/A,All,#N/A,Before Calculate,#N/A,#N/A,Calculator
be840d29-1a1d-4c60-a7e0-2c11292688ec,Lookup Approval Level [Discount],false,#N/A,All,#N/A,On Initialization;Before Calculate;On Calculate;After Calculate,99.0,Approval_Threshold__c,Calculator
ecd1237b-a4b9-489f-9c2d-d5a084ebe2a6,Set True Discretionary Discount %,false,#N/A,All,#N/A,After Calculate,98.0,#N/A,Calculator
26876d5a-dbec-45a3-84a6-44880a83dcd9,Lookup Approval Level 1 [Discount],false,#N/A,All,#N/A,On Initialization,50.0,Approval_Threshold__c,Calculator
2b04460b-020e-47f6-99f6-6a022c9c6634,Set Professional Services Role Rates,false,#N/A,All,#N/A,On Calculate,#N/A,Professional_Services_Rate__c,Calculator
efa63edd-0b95-4c1b-8b80-64c7bb144ee2,Billing Frequency Approval,false,#N/A,All,#N/A,On Initialization;On Calculate,20.0,#N/A,Calculator
ccee5ca8-49bd-4c57-92a5-0138059ff212,Config - Set Device Count,false,#N/A,All,Edit,#N/A,99.0,#N/A,Configurator
2838c7a6-9b0f-4f50-a05c-0dd6557c089c,Set Professional Services Role Rates,false,#N/A,All,#N/A,On Calculate,#N/A,Professional_Services_Rate__c,Calculator
bdc0bbd6-e203-4e34-9598-6e6b18f22ba9,NEW PRICE RULE 1,false,#N/A,All,#N/A,Before Calculate;On Calculate,#N/A,#N/A,Configurator
9cf29d24-277c-463d-ad98-cc746b0e24e7,Config - Set Device Count,false,#N/A,All,Edit,#N/A,99.0,#N/A,Configurator
49462352-6a1d-4574-a2a2-118e2e5caba1,Set VirusScan Device Count (DEP),false,111 AND (222 OR 333 OR 444),Custom,#N/A,On Initialization,2.0,#N/A,Calculator
b2752e2e-c3d9-4405-966c-6286ac7b5d1a,NEW PRICE RULE 4,false,#N/A,All,#N/A,On Calculate,#N/A,#N/A,Configurator
2908fd1f-0200-4fb6-aab5-912226a753db,Training Price Rule - deactivate,false,#N/A,All,#N/A,Before Calculate,#N/A,#N/A,Calculator
