"Guid","AccessType"
09dda871-11fd-47a1-99c2-b24b5035b585,Give
1ca1d516-a818-421e-9f58-aec19eb1274e,Give
35b67ef4-63dc-4720-97b2-c7801d622e5f,Give
37470059-f14f-478e-9b99-19d4acda5f8c,Give
3ddd7d0c-4a2f-4ef2-8c1c-f280052497b5,Give
815c783b-7112-4b75-a52b-3ac7a02e8ad2,Give
8a389d86-d90a-4f58-abae-cbb51d77371f,Give
a13ed111-dbce-4d80-a046-6e8dae7e2534,Give
c94b52c7-81dd-4359-b160-50e3465da6db,Give
d1b48738-7ee6-4523-8d95-6ca81c848f97,Give
d233ddd4-6330-4ae5-8924-da2b81bec6dc,Give
fdb073fb-6c9e-4c0a-94c2-88bce5cb468e,Give
